Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C4",0805,2,10u,
"C2, C3",0603,2,1u,
"C5, C6, C7, C8",0603,4,0.1u,
"D1, D3, D4",D_SOD-123F,3,SS2040FL,
D2,0603,1,3V3,
J1,AMASS_XT30PW-M_1x02_P2.50mm_Horizontal,1,Conn_01x02,
J2,IDC-Header_2x03_P2.54mm_Vertical,1,STLINK,
J3,USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,1,USB_C,
R1,0603,1,1k,
"R10, R11, R12, R13, R14, R15, R16, R9",0603,8,470,
"R2, R3, R6",0603,3,100k,
"R4, R5",0603,2,10k,
"R7, R8",0603,2,5.1k,
SW1,TVAF06-A020B-R,1,SW_Push,
U1,TSOT-23-5,1,RT9080-33GJ5,
U2,M78SAR033-0.5,1,M78SAR033-0.5,
U3,MSOP-10_3x3mm_P0.5mm,1,CH340E,
U4,TSSOP-20_4.4x6.5mm_P0.65mm,1,STM32C011F4Px,
U5,SOP-16_4.55x10.3mm_P1.27mm,1,74HC595,
U6,OSL30561-LRA,1,OSL30561-LRA,
