Designator,Mid X,Mid Y,Rotation,Layer
C1,141.59,-89.48,90.0,top
C2,163.815,-99.005,0.0,bottom
C3,163.815,-92.655,0.0,bottom
C4,159.37,-89.48,90.0,top
C5,165.72,-109.8,0.0,bottom
C6,164.45,-84.4,0.0,bottom
C7,154.29,-97.1,0.0,bottom
C8,140.32,-97.1,180.0,bottom
D1,140.32,-92.655,180.0,top
D2,164.45,-89.48,180.0,top
D3,168.26,-97.1,0.0,top
D4,168.26,-99.64,0.0,top
J1,135.24,-84.33,0.0,top
J2,175.3625,-93.295,180.0,top
J3,176.515,-107.26,90.0,top
R1,164.45,-89.48,0.0,bottom
R10,131.52,-112.34,270.0,bottom
R11,134.03,-112.34,270.0,bottom
R12,136.54,-112.34,270.0,bottom
R13,139.05,-112.34,270.0,bottom
R14,141.56,-112.34,270.0,bottom
R15,144.07,-112.34,270.0,bottom
R16,146.58,-112.34,270.0,bottom
R2,147.94,-93.29,180.0,bottom
R3,151.75,-94.56,180.0,bottom
R4,155.56,-93.29,180.0,bottom
R5,159.37,-93.29,180.0,bottom
R6,151.75,-92.02,180.0,bottom
R7,175.88,-108.53,180.0,bottom
R8,175.88,-106.02,180.0,bottom
R9,129.01,-112.34,270.0,bottom
SW1,164.45,-84.4,180.0,top
U1,163.815,-95.83,270.0,bottom
U2,150.48,-85.67,0.0,top
U3,165.72,-107.26,270.0,bottom
U4,154.29,-98.37,180.0,top
U5,142.86,-98.37,0.0,top
U6,151.75,-112.34,0.0,top
